"KEGG","Description"
"ath01100","Metabolic pathways - Arabidopsis thaliana (thale cress)"
"ath01110","Biosynthesis of secondary metabolites - Arabidopsis thaliana (thale cress)"
"ath01200","Carbon metabolism - Arabidopsis thaliana (thale cress)"
"ath01210","2-Oxocarboxylic acid metabolism - Arabidopsis thaliana (thale cress)"
"ath01212","Fatty acid metabolism - Arabidopsis thaliana (thale cress)"
"ath01230","Biosynthesis of amino acids - Arabidopsis thaliana (thale cress)"
"ath01232","Nucleotide metabolism - Arabidopsis thaliana (thale cress)"
"ath01250","Biosynthesis of nucleotide sugars - Arabidopsis thaliana (thale cress)"
"ath01240","Biosynthesis of cofactors - Arabidopsis thaliana (thale cress)"
"ath01310","Nitrogen cycle - Arabidopsis thaliana (thale cress)"
"ath01320","Sulfur cycle - Arabidopsis thaliana (thale cress)"
"ath00010","Glycolysis / Gluconeogenesis - Arabidopsis thaliana (thale cress)"
"ath00020","Citrate cycle (TCA cycle) - Arabidopsis thaliana (thale cress)"
"ath00030","Pentose phosphate pathway - Arabidopsis thaliana (thale cress)"
"ath00040","Pentose and glucuronate interconversions - Arabidopsis thaliana (thale cress)"
"ath00051","Fructose and mannose metabolism - Arabidopsis thaliana (thale cress)"
"ath00052","Galactose metabolism - Arabidopsis thaliana (thale cress)"
"ath00053","Ascorbate and aldarate metabolism - Arabidopsis thaliana (thale cress)"
"ath00500","Starch and sucrose metabolism - Arabidopsis thaliana (thale cress)"
"ath00620","Pyruvate metabolism - Arabidopsis thaliana (thale cress)"
"ath00630","Glyoxylate and dicarboxylate metabolism - Arabidopsis thaliana (thale cress)"
"ath00640","Propanoate metabolism - Arabidopsis thaliana (thale cress)"
"ath00650","Butanoate metabolism - Arabidopsis thaliana (thale cress)"
"ath00660","C5-Branched dibasic acid metabolism - Arabidopsis thaliana (thale cress)"
"ath00562","Inositol phosphate metabolism - Arabidopsis thaliana (thale cress)"
"ath00566","Sulfoquinovose metabolism - Arabidopsis thaliana (thale cress)"
"ath00190","Oxidative phosphorylation - Arabidopsis thaliana (thale cress)"
"ath00195","Photosynthesis - Arabidopsis thaliana (thale cress)"
"ath00196","Photosynthesis - antenna proteins - Arabidopsis thaliana (thale cress)"
"ath00710","Carbon fixation by Calvin cycle - Arabidopsis thaliana (thale cress)"
"ath00910","Nitrogen metabolism - Arabidopsis thaliana (thale cress)"
"ath00920","Sulfur metabolism - Arabidopsis thaliana (thale cress)"
"ath00061","Fatty acid biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00062","Fatty acid elongation - Arabidopsis thaliana (thale cress)"
"ath00071","Fatty acid degradation - Arabidopsis thaliana (thale cress)"
"ath00073","Cutin, suberine and wax biosynthesis - Arabidopsis thaliana (thale cress)"
"ath00100","Steroid biosynthesis - Arabidopsis thaliana (thale cress)"
