"","logFC","logCPM","PValue","FDR"
"AT3G25780",11.336078691383,9.35089721220899,3.32466921104788e-231,5.81251918167501e-227
"AT1G61120",14.2016019174875,8.13303143942396,1.36196880567235e-215,1.19056503147849e-211
"AT4G30280",11.596676179909,8.18746974832767,5.30572181005702e-208,3.09199781350756e-204
"AT3G48520",17.0636216576182,7.86240216909351,1.65612247705116e-207,7.23849731657136e-204
"AT2G38240",16.9228893937447,7.72169318983223,2.60556526837783e-203,9.1106195174099e-200
"AT1G72520",8.60986840725767,9.98037069556047,1.87359635209746e-191,5.45934750395332e-188
"AT2G24850",8.39563865908876,9.89882023122834,7.87775298978561e-186,1.96752507886317e-182
"AT3G25180",16.3250305555565,7.1239630778405,1.60298949173399e-185,3.50313316049817e-182
"AT5G63450",16.2002959988076,6.99926281061786,8.05910316357463e-182,1.56552556231973e-178
"AT1G17420",8.01145720789149,11.2619546047017,2.22179386418968e-180,3.88436221276282e-177
"AT5G05600",8.50840155998217,8.33788850017468,2.16442422021884e-175,3.44005714928055e-172
"AT2G34930",7.91427890383639,9.41241911058586,1.91725520999945e-171,2.7932810697017e-168
"AT3G25760",7.74003946974997,10.1367965272396,4.72650791190519e-170,6.35642598644911e-167
"AT2G27690",9.04227205517711,7.39450079585872,6.08726288682682e-169,7.60168693217095e-166
"AT1G17380",8.74693176592121,7.55708038915486,1.87460967256052e-168,2.18492006035837e-165
"AT3G44860",7.67201156304624,9.43638325768861,1.54791667351097e-165,1.69138920018701e-162
"AT2G32140",11.0797991926181,6.48310824550423,7.2497749530904e-163,7.45575385322821e-160
"AT4G21850",11.4949272165938,6.34253596973828,1.97524180676053e-160,1.91850847264413e-157
"AT4G15210",9.60288157269032,6.55219967839535,4.18095115057463e-157,3.84713520871033e-154
"AT3G46660",15.2565038533401,6.05585371514243,5.08267227608896e-154,4.44301797014317e-151
"AT5G20230",8.21567729259404,6.98322927578135,4.59046864379568e-152,3.82167444283238e-149
"AT1G61800",9.09676334215252,6.45684083488014,3.46562285385877e-151,2.75406747063695e-148
"AT3G23250",15.1150299656268,5.91446219171929,6.8621255346174e-150,5.21611046616156e-147
"AT5G13220",7.68699402079105,7.28696279018733,5.79170870969584e-148,4.21901847381718e-145
"AT1G43160",15.0285619324772,5.82804865568842,2.26127426630812e-147,1.5813543199146e-144
"AT4G31800",7.090197541399,8.63302598051687,3.44804535367637e-147,2.31854526608939e-144
"AT5G64750",11.0120754521169,5.86013122737293,2.59686401541446e-146,1.68151754005522e-143
"AT3G01830",11.8192478306268,5.75175938612243,3.71706594427023e-145,2.3209094251313e-142
"AT2G30830",14.8742553033087,5.67384785019665,6.71711030157557e-143,4.04949101387744e-140
"AT3G50930",7.31375258740458,7.4217451392048,7.27024406725668e-143,4.23685590092829e-140
