"GO","Term","Count","Background","FoldEnrichment","P.Value","FDR"
"GO:0045824","negative regulation of innate immune response",3,11,47.5192127460169,2.92466821730529e-05,0.000193028102342149
"GO:0031327","negative regulation of cellular biosynthetic process",3,33,15.8397375820056,0.000882461254242127,0.0048535368983317
"GO:0009606","tropism",3,41,12.7490570781996,0.0016678943735843,0.00611561270314245
"GO:0009733","response to auxin",10,239,7.29025579088125,1.13566388782694e-06,1.87384541491445e-05
"GO:0009642","response to light intensity",8,209,6.66936319242342,2.69312041963199e-05,0.000193028102342149
"GO:1901575","organic substance catabolic process",5,136,6.40577622801698,0.00111687576821033,0.00491699007399215
"GO:0065003","protein-containing complex assembly",5,138,6.31293889137905,0.00119199759369507,0.00491699007399215
"GO:0006351","DNA-templated transcription",5,164,5.31210711591652,0.00254400231971216,0.00839520765505014
"GO:0044283","small molecule biosynthetic process",4,137,5.08721498984122,0.00800632071705275,0.0220173819718951
"GO:0019748","secondary metabolic process",3,123,4.24968569273322,0.0338298959578967,0.0797418976150423
"GO:0009826","unidimensional cell growth",4,171,4.07572195092542,0.0169315758977377,0.0429801542019495
"GO:0009416","response to light stimulus",21,984,3.71847498114156,1.36642101406469e-07,4.50918934641347e-06
"GO:0009639","response to red or far red light",3,147,3.55585945718494,0.0526218597630803,0.108532585761353
"GO:0044248","cellular catabolic process",7,364,3.35071371927042,0.00496716251367007,0.0149014875410102
"GO:0019752","carboxylic acid metabolic process",3,158,3.30829962155814,0.062603758882071,0.121524943712256
"GO:1901566","organonitrogen compound biosynthetic process",4,242,2.87995228763739,0.0506739151129454,0.108532585761353
"GO:0006355","regulation of DNA-templated transcription",20,1237,2.81709156672695,1.9805124194993e-05,0.000193028102342149
"GO:0048316","seed development",4,273,2.55292473849175,0.0721885624303558,0.132345697788986
"GO:1901362","organic cyclic compound biosynthetic process",4,324,2.15107547409953,0.116049501043828,0.191481676722316
"GO:0080090","regulation of primary metabolic process",3,268,1.95041544853054,0.199483902899684,0.313474704556646
"GO:0009266","response to temperature stimulus",3,288,1.81496993127148,0.229334963217077,0.344002444825616
"GO:0008150","biological_process",9,929,1.68798064652159,0.0853980648889739,0.148322954807165
"GO:0044271","cellular nitrogen compound biosynthetic process",3,347,1.50637273834636,0.320976239772645,0.441342329687387
"GO:0030154","cell differentiation",4,471,1.47972070829777,0.285458854236486,0.409571399556697
"GO:0050793","regulation of developmental process",3,360,1.45197594501718,0.341440104790522,0.450700938323489
"GO:0009888","tissue development",4,530,1.31499708227971,0.362277344073527,0.459813552093322
"GO:0048589","developmental growth",3,449,1.16416779555943,0.478132654131822,0.584384355050005
"GO:0009409","response to cold",3,507,1.03098883669859,0.560099250976377,0.660116974365016
"GO:0033993","response to lipid",3,536,0.975207724265271,0.598133575466548,0.68063475828952
"GO:0010468","regulation of gene expression",5,928,0.938777550657661,0.621483116055786,0.683631427661365
"GO:0009737","response to abscisic acid",4,796,0.875563383929959,0.676104776481157,0.719724439479941
"GO:0009059","macromolecule biosynthetic process",3,839,0.623017092021675,0.866301354895785,0.893373272236278
"GO:0009414","response to water deprivation",3,958,0.545627703764286,0.91829299339016,0.91829299339016
