"GO","Term","Count","Background","FoldEnrichment","P.Value","FDR"
"GO:0009694","jasmonic acid metabolic process",3,17,30.7477258944815,0.000117553106814709,0.000599915894878425
"GO:2000022","regulation of jasmonic acid mediated signaling pathway",5,41,21.2484284636661,3.57093355847862e-06,3.14242153146118e-05
"GO:0071395","cellular response to jasmonic acid stimulus",3,29,18.0245289726271,0.000600904366409527,0.00240361746563811
"GO:1901605","alpha-amino acid metabolic process",7,109,11.189539392793,3.04655610244902e-06,3.14242153146118e-05
"GO:0002213","defense response to insect",3,56,9.33413107511046,0.00407626801904572,0.00896778964190058
"GO:0009753","response to jasmonic acid",18,423,7.41434525115157,2.83909266053662e-11,6.24600385318056e-10
"GO:0046394","carboxylic acid biosynthetic process",3,83,6.29772699043597,0.0120908829213252,0.0204614941745504
"GO:0009611","response to wounding",28,784,6.22275405007364,2.49820712322378e-15,1.09921113421846e-13
"GO:0009867","jasmonic acid mediated signaling pathway",4,120,5.80790378006873,0.00504090937152333,0.0101765261188159
"GO:0002237","response to molecule of bacterial origin",4,121,5.75990457527477,0.00519068710567618,0.0101765261188159
"GO:1901566","organonitrogen compound biosynthetic process",8,242,5.75990457527477,7.59672977519979e-05,0.000477508728726844
"GO:0044550","secondary metabolite biosynthetic process",3,97,5.38877670315655,0.01832186068149,0.0287914953566272
"GO:0071456","cellular response to hypoxia",6,204,5.12462098241358,0.00114138160644767,0.00358719933454984
"GO:0009751","response to salicylic acid",6,234,4.46761829236056,0.00228848804846926,0.00629334213329048
"GO:0019438","aromatic compound biosynthetic process",7,276,4.41905722396534,0.00105503392180135,0.00358719933454984
"GO:0009617","response to bacterium",6,238,4.39253227064021,0.00249034079894448,0.00641857196752539
"GO:0071396","cellular response to lipid",7,295,4.13443997903198,0.00154747019384225,0.00453924590193726
"GO:0050832","defense response to fungus",16,692,4.02860377808235,1.88712222147571e-06,2.76777925816437e-05
"GO:0010035","response to inorganic substance",9,390,4.0208564631245,0.000403929890751711,0.00177729151930753
"GO:0031347","regulation of defense response",12,529,3.95244869721123,4.9516782388746e-05,0.000363123070850804
"GO:0098542","defense response to other organism",11,494,3.87977378020785,0.00012271006940695,0.000599915894878425
"GO:1901362","organic cyclic compound biosynthetic process",7,324,3.76438207967418,0.00262577944126039,0.00641857196752539
"GO:0014070","response to organic cyclic compound",6,278,3.76051323889342,0.00531954774392649,0.0101765261188159
"GO:0071310","cellular response to organic substance",3,157,3.32937159366997,0.0616621594785787,0.0904378339019155
"GO:1901701","cellular response to oxygen-containing compound",8,432,3.22661321114929,0.00339760793815566,0.00786814469888679
"GO:0009620","response to fungus",4,226,3.08384271508074,0.041182570937323,0.06248390073249
"GO:0006979","response to oxidative stress",7,445,2.74080852542569,0.0141165713194328,0.0230047828909276
"GO:0042742","defense response to bacterium",13,845,2.68057097541634,0.00106012345569442,0.00358719933454984
"GO:0006952","defense response",4,273,2.55292473849175,0.0721885624303558,0.0992592733417393
"GO:0009414","response to water deprivation",12,958,2.18251081505714,0.00861844866541284,0.0158004892199235
"GO:0009409","response to cold",6,507,2.06197767339718,0.0715134691581994,0.0992592733417393
"GO:0006970","response to osmotic stress",4,345,2.0201404452413,0.136866230473206,0.172060404023459
"GO:0009755","hormone-mediated signaling pathway",3,262,1.99508145116865,0.190724174734172,0.233107324675099
"GO:0006355","regulation of DNA-templated transcription",14,1237,1.97196409670886,0.0108339886046495,0.0190678199441832
"GO:0009651","response to salt stress",6,533,1.9613933966461,0.086129893944805,0.112208826663757
"GO:0048316","seed development",3,273,1.91469355386881,0.206857633599461,0.240231220893408
"GO:0009266","response to temperature stimulus",3,288,1.81496993127148,0.229334963217077,0.258736881578241
"GO:0009737","response to abscisic acid",8,796,1.75112676785992,0.0867068206038122,0.112208826663757
"GO:0007165","signal transduction",6,693,1.50854643638149,0.207472418044307,0.240231220893408
"GO:0033993","response to lipid",4,536,1.30027696568703,0.370136850858194,0.406955818663584
"GO:0006468","protein phosphorylation",5,704,1.23747949859419,0.379208831027431,0.406955818663584
"GO:0008150","biological_process",4,929,0.750213620676262,0.787326139514081,0.824817860443323
"GO:0009059","macromolecule biosynthetic process",3,839,0.623017092021675,0.866301354895785,0.886447898032896
"GO:0009416","response to light stimulus",3,984,0.531210711591652,0.926890468245598,0.926890468245598
